FOOD_NAME,EXPIRY_DATE
GRAPE LEAVES COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
GREEN BEANS  / STRING BEANS / WAX BEANS - FRESH RAW,6
GREEN BEANS - COMMERCIALLY FROZEN,330
GREEN BEANS / STRING BEANS / WAX BEANS COMMERCIALLY CANNED OR BOTTLED - OPENED,3
GREEN BEANS / STRING BEANS / WAX BEANS COMMERCIALLY CANNED OR BOTTLED - UNOPENED,1460
GREEN ONIONS (SCALLIONS) - FRESH RAW,8
GUERO PEPPERS - FRESH RAW SLICED OR CHOPPED,2
GUERO PEPPERS — FRESH RAW WHOLE,7
HABANERO PEPPERS - FRESH RAW SLICED OR CHOPPED,2
HABANERO PEPPERS — FRESH RAW WHOLE,7
HASH BROWNS (HASH BROWN POTATOES) - COMMERCIALLY FROZEN,330
HEARTS OF PALM COMMERCIALLY CANNED OR BOTTLED — OPENED,3
HEARTS OF PALM COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
HORSERADISH ROOT — FRESH RAW,45
JALAPENO PEPPERS - FRESH RAW SLICED OR CHOPPED,2
JALAPENO PEPPERS — FRESH RAW WHOLE,7
JALAPENO PEPPERS COMMERCIALLY  CANNED OR BOTTLED - OPENED,45
JALAPENO PEPPERS COMMERCIALLY  CANNED OR BOTTLED - UNOPENED,1460
JERUSALEM ARTICHOKES (SUNCHOKES) — FRESH COOKED,4
JERUSALEM ARTICHOKES (SUNCHOKES) — FRESH RAW,10
JICAMA — FRESH COOKED,4
JICAMA — FRESH RAW,10
KALE — FRESH COOKED,4
KALE - COMMERCIALLY FROZEN,330
KALE - FRESH RAW LOOSE,6
KALE FRESH COMMERCIALLY BAGGED AND PREWASHED - OPENED BAG,4
KALE FRESH COMMERCIALLY BAGGED AND PREWASHED - UNOPENED BAG,8
KOHLRABI — FRESH COOKED,4
KOHLRABI — FRESH RAW,4
LEEKS — FRESH COOKED,4
LEEKS - FRESH RAW,10
LETTUCE BIBB - FRESH RAW,3
LETTUCE BOSTON - FRESH RAW,3
LETTUCE BUTTER - FRESH RAW,3
LETTUCE COMMERCIALLY BAGGED AND PREWASHED SALAD MIX - OPENED BAG,4
LETTUCE COMMERCIALLY BAGGED AND PREWASHED SALAD MIX - UNOPENED BAG,8
LETTUCE ICEBERG - FRESH RAW,8
LETTUCE LEAF (RED OR GREEN) - FRESH RAW,7
LETTUCE MACHE - FRESH RAW,1
LETTUCE ROMAINE OR COS - FRESH RAW,8
LIMA BEANS - COMMERCIALLY FROZEN,330
MESCLUN GREENS  MESCLUN MIX - FRESH RAW,2
MINCED GARLIC / CHOPPED GARLIC COMMERCIALLY BOTTLED IN WATER SOLD UNREFRIGERATED  - UNOPENED,630
MINCED GARLIC / CHOPPED GARLIC COMMERCIALLY BOTTLED IN WATER SOLD UNREFRIGERATED - OPENED,630
MINESTRONE SOUP - HOMEMADE,3
MINESTRONE SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — OPENED,3
MINESTRONE SOUP COMMERCIALLY CANNED OR PACKAGED SOLD UNREFRIGERATED — UNOPENED,1460
MIXED VEGETABLES - COMMERCIALLY FROZEN,330
MIXED VEGETABLES COMMERCIALLY CANNED OR BOTTLED — OPENED,3
MIXED VEGETABLES COMMERCIALLY CANNED OR BOTTLED — UNOPENED,1460
MIXED VEGETABLES SOLD PRE-SLICED IN GROCERY PRODUCE DEPARTMENT- FRESH RAW,4
MUSHROOMS (INCLUDING WHITE BUTTON PORTABELLA SHIITAKE OYSTER ENOKI VARIETIES) - FRESH COOKED,4
MUSHROOMS (INCLUDING WHITE BUTTON PORTABELLA SHIITAKE OYSTER ENOKI VARIETIES) - FRESH RAW WHOLE,5
MUSHROOMS COMMERCIALLY CANNED OR BOTTLED (INCLUDING WHOLE PIECES AND STEMS) — OPENED,3
MUSHROOMS COMMERCIALLY CANNED OR BOTTLED (INCLUDING WHOLE PIECES AND STEMS) — UNOPENED,1460
MUSHROOMS DRIED (INCLUDING PORCINI MOREL) — OPENED OR UNOPENED PACKAGE,365
MUSTARD GREENS — FRESH COOKED,4
MUSTARD GREENS - COMMERCIALLY FROZEN,330
MUSTARD GREENS - FRESH RAW,2
NOPALES (NOPALITOS PRICKLY PEAR) — FRESH COOKED,4
NOPALES (NOPALITOS PRICKLY PEAR) — FRESH RAW,10
OKRA — FRESH COOKED,4
OKRA - COMMERCIALLY FROZEN,330
OKRA — FRESH RAW,2
ONION RINGS - COMMERCIALLY FROZEN,330
ONIONS (INCLUDING YELLOW WHITE RED SPANISH PEARL VIDALIA VARIETIES) - FRESH COOKED,4
ONIONS (NOT PICKLED) COMMERCIALLY CANNED OR BOTTLED — OPENED,3
