FOOD_NAME,EXPIRY_DATE
PEACHES COMMERCIALLY CANNED OR BOTTLED — OPENED,6
PEACHES COMMERCIALLY CANNED OR BOTTLED — UNOPENED,630
PEACHES DRIED - UNOPENED OR OPENED PACKAGE,270
PEAR NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,6
PEAR NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,450
PEARS - FRESH RAW CUT UP,3
PEARS - FRESH RAW WHOLE,2
PEARS CANDIED — UNOPENED OR OPENED PACKAGE,360
PEARS COMMERCIALLY CANNED OR BOTTLED — OPENED,6
PEARS COMMERCIALLY CANNED OR BOTTLED — UNOPENED,630
PEARS DRIED - UNOPENED OR OPENED PACKAGE,270
PERSIMMONS - FRESH RAW,2
PERSIMMONS DRIED - UNOPENED OR OPENED PACKAGE,270
PINEAPPLE  (CHUNKS SLICED CRUSHED TIDBITS) COMMERCIALLY CANNED OR BOTTLED   — OPENED,6
PINEAPPLE  (CHUNKS SLICED CRUSHED TIDBITS) COMMERCIALLY CANNED OR BOTTLED   — UNOPENED,630
PINEAPPLE - COMMERCIALLY FROZEN,365
PINEAPPLE - FRESH RAW CUT UP,3
PINEAPPLE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,8
PINEAPPLE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,450
PINEAPPLE JUICE SOLD IN REFRIGERATED CARTON - UNOPENED,7
PINEAPPLE JUICE SOLD IN REFRIGERATED CARTON — OPENED,8
PINEAPPLE CANDIED — UNOPENED OR OPENED PACKAGE,540
PINEAPPLES - FRESH RAW WHOLE,1
PINEAPPLES DRIED - UNOPENED OR OPENED PACKAGE,270
PLANTAINS — FRESH RAW CUT UP,3
PLANTAINS - FRESH RAW WHOLE,4
PLUMS - FRESH RAW WHOLE,2
POMEGRANATE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,6
POMEGRANATE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,450
POMEGRANATE JUICE SOLD IN REFRIGERATED CONTAINER - UNOPENED,7
POMEGRANATE JUICE SOLD IN REFRIGERATED CONTAINER — OPENED,8
POMEGRANATES - FRESH RAW,10
PRICKLY PEARS — FRESH RAW CUT UP,3
PRICKLY PEARS - FRESH RAW WHOLE,3
PRUNE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,8
PRUNE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,630
PRUNES (DRIED PLUMS) - COOKED AT HOME,3
PRUNES (DRIED PLUMS) COMMERCIALLY CANNED OR BOTTLED - OPENED,6
PRUNES (DRIED PLUMS) COMMERCIALLY CANNED OR BOTTLED — UNOPENED,450
QUINCES - FRESH RAW,3
RAISINS COMMERCIALLY PACKAGED - UNOPENED OR OPENED,270
RASPBERRIES - COMMERCIALLY FROZEN,365
RASPBERRIES - FRESH RAW,2
SAPOTE (MARMALADE PLUM) - FRESH RAW,3
STAR FRUIT (CARAMBOLA) - FRESH RAW,3
STAR FRUIT (CARAMBOLA) — FRESH RAW CUT UP,3
STRAWBERRIES - FRESH RAW,5
STRAWBERRIES - FRESH RAW CUT UP,3
STRAWBERRIES COMMERCIALLY FROZEN,365
TAMARIND NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,6
TAMARIND NECTAR COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,450
TAMARIND PASTE,17
TANGERINE JUICE - COMMERCIALLY FROZEN CONCENTRATE,365
TANGERINE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — OPENED,6
TANGERINE JUICE COMMERCIALLY CANNED OR BOTTLED SOLD UNREFRIGERATED — UNOPENED,450
TANGERINES (MANDARIN ORANGES) - FRESH RAW,7
TANGERINES (MANDARIN ORANGES) COMMERCIALLY CANNED OR BOTTLED — OPENED,6
TANGERINES (MANDARIN ORANGES) COMMERCIALLY CANNED OR BOTTLED — UNOPENED,630
UGLI FRUIT — FRESH RAW,7
WATERMELON - FRESH RAW CUT UP,4
WATERMELON - FRESH RAW WHOLE,8
