FOOD_NAME,EXPIRY_DATE
TARTAR SAUCE COMMERCIALLY BOTTLED — UNOPENED,450
TEMPURA DIPPING SAUCE COMMERCIALLY BOTTLED — OPENED,730
TEMPURA DIPPING SAUCE COMMERCIALLY BOTTLED — UNOPENED,1095
TERIYAKI SAUCE COMMERCIALLY BOTTLED - OPENED,365
TERIYAKI SAUCE COMMERCIALLY BOTTLED - UNOPENED,1095
THOUSAND ISLAND SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - OPENED,225
THOUSAND ISLAND SALAD DRESSING COMMERCIALLY BOTTLED SOLD UNREFRIGERATED - UNOPENED,450
WASABI PASTE COMMERCIALLY PACKAGED - OPENED,540
WASABI PASTE COMMERCIALLY PACKAGED - UNOPENED,540
WORCESTERSHIRE SAUCE COMMERCIALLY BOTTLED - OPENED,1095
WORCESTERSHIRE SAUCE COMMERCIALLY BOTTLED - UNOPENED,1642
