FOOD_NAME,EXPIRY_DATE
HALF-AND-HALF PLAIN PASTEURIZED — OPENED PACKAGE,6
HALF-AND-HALF PLAIN PASTEURIZED — UNOPENED PACKAGE,10
HAVARTI CHEESE - SLICED AT GROCERY DELI COUNTER,17
HAVARTI CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
HAVARTI CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
HAVARTI CHEESE SOLD IN WRAPPED BLOCK - UNOPENED OR OPENED,17
HEAVY CREAM PLAIN PASTEURIZED - OPENED PACKAGE,6
HEAVY CREAM PLAIN PASTEURIZED - UNOPENED PACKAGE,17
JARLSBERG CHEESE - SLICED AT GROCERY DELI COUNTER,24
JARLSBERG CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
JARLSBERG CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
JARLSBERG CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,45
JARLSBERG CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - OPENED,24
LANCASHIRE CHEESE SOLD IN WRAPPED BLOCK — OPENED,24
LANCASHIRE CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,45
LIGHT CREAM PLAIN PASTEURIZED - OPENED PACKAGE,6
LIGHT CREAM PLAIN PASTEURIZED - UNOPENED PACKAGE,10
LIMBURGER CHEESE SOLD IN WRAPPED BLOCK - UNOPENED OR OPENED,17
MASCARPONE CHEESE — UNOPENED OR OPENED PACKAGE,60
MILK EVAPORATED COMMERCIALLY CANNED - OPENED,5
MILK EVAPORATED COMMERCIALLY CANNED — UNOPENED,630
MILK LACTOSE-FREE ULTRA-PASTEURIZED (INCLUDING WHOLE SKIM 2% 1% VARIETIES) SOLD REFRIGERATED - UNOPENED OR OPENED,7
MILK POWDERED DRY — RECONSTITUTED INTO LIQUID MILK,6
MILK REGULAR PASTEURIZED (INCLUDING WHOLE SKIM 2% 1% VARIETIES) SOLD REFRIGERATED - UNOPENED OR OPENED,6
MILK SWEETENED CONDENSED COMMERCIALLY CANNED - OPENED,5
MILK SWEETENED CONDENSED COMMERCIALLY CANNED — UNOPENED,365
MILK ULTRA-HIGH-TEMPERATURE (UHT) SOLD UNREFRIGERATED — OPENED,8
MILK ULTRA-HIGH-TEMPERATURE (UHT) SOLD UNREFRIGERATED — UNOPENED,21
MONTEREY JACK  CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
MONTEREY JACK  CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - UNOPENED PACKAGE,7
MONTEREY JACK CHEESE - SLICED AT GROCERY DELI COUNTER,24
MONTEREY JACK CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,180
MONTEREY JACK CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - OPENED,24
MOZZARELLA CHEESE FRESH HIGH MOISTURE (INCLUDING BUFALO/BUFFALO VARIETIES) — UNOPENED OR OPENED,10
MOZZARELLA CHEESE LOW MOISTURE VARIETY - SLICED AT GROCERY DELI COUNTER,17
MOZZARELLA CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
MOZZARELLA CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
MUENSTER CHEESE - SLICED AT GROCERY DELI COUNTER,17
MUENSTER CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
MUENSTER CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
MUENSTER CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - UNOPENED OR OPENED,17
NEUFCHATEL CHEESE — UNOPENED OR OPENED PACKAGE,14
NON-DAIRY COFFEE CREAMER (COFFEE WHITENER) DRY POWDERED — UNOPENED OR OPENED PACKAGE,630
NON-DAIRY COFFEE CREAMER (COFFEE WHITENER) LIQUID SOLD REFRIGERATED - OPENED  PACKAGE,14
NON-DAIRY COFFEE CREAMER (COFFEE WHITENER) LIQUID SOLD REFRIGERATED - UNOPENED  PACKAGE,7
PARMESAN CHEESE GRATED COMMERCIALLY PACKAGED SOLD UNREFRIGERATED   - OPENED,330
PARMESAN CHEESE GRATED COMMERCIALLY PACKAGED SOLD UNREFRIGERATED  - UNOPENED,450
PARMESAN CHEESE SHREDDED COMMERCIALLY PACKAGED SOLD  REFRIGERATED - OPENED,6
PARMESAN CHEESE SHREDDED COMMERCIALLY PACKAGED SOLD  REFRIGERATED - UNOPENED,7
PARMESAN CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - OPENED,35
PARMESAN CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - UNOPENED,210
PARMIGIANO-REGGIANO  CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - UNOPENED OR OPENED,365
PASTEURIZED PROCESSED CHEESE PRODUCT SOLD IN WRAPPED BLOCK — OPENED PACKAGE,45
PASTEURIZED PROCESSED CHEESE PRODUCT SOLD IN WRAPPED BLOCK — UNOPENED PACKAGE,165
PASTEURIZED PROCESSED CHEESE SPREAD DIP OR SAUCE COMMERCIALLY PACKAGED — OPENED,24
PASTEURIZED PROCESSED CHEESE SPREAD DIP OR SAUCE COMMERCIALLY PACKAGED — UNOPENED,165
PORT DU SALUT CHEESE SOLD IN WRAPPED BLOCK - UNOPENED OR OPENED,17
POWDERED MILK DRY NONFAT - OPENED PACKAGE,90
POWDERED MILK DRY NONFAT - UNOPENED PACKAGE,450
PROVOLONE CHEESE - SLICED AT GROCERY DELI COUNTER,17
PROVOLONE CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
PROVOLONE CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
PROVOLONE CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - UNOPENED OR OPENED,17
PUDDING MADE WITH MILK — HOMEMADE,5
RICOTTA CHEESE COMMERCIALLY PACKAGED - OPENED,10
RICOTTA CHEESE COMMERCIALLY PACKAGED - UNOPENED,4
ROMANO CHEESE GRATED COMMERCIALLY PACKAGED SOLD UNREFRIGERATED   - OPENED,330
ROMANO CHEESE GRATED COMMERCIALLY PACKAGED SOLD UNREFRIGERATED  - UNOPENED,450
ROMANO CHEESE SHREDDED COMMERCIALLY PACKAGED IN RESEALABLE BAG - OPENED PACKAGE,6
ROMANO CHEESE SHREDDED COMMERCIALLY PACKAGED IN RESEALABLE BAG — UNOPENED PACKAGE,7
ROMANO CHEESE SOLD IN WRAPPED BLOCK  - OPENED,35
ROMANO CHEESE SOLD IN WRAPPED BLOCK - UNOPENED,210
ROQUEFORT CHEESE SOLD IN WRAPPED WEDGE (FIRM TEXTURE) - UNOPENED OR OPENED,24
SOUR CREAM - OPENED PACKAGE,14
SOUR CREAM - UNOPENED PACKAGE,12
STILTON CHEESE SOLD IN WRAPPED WEDGE (FIRM TEXTURE) - UNOPENED OR OPENED,24
STRING CHEESE COMMERCIALLY PACKAGED - OPENED PACKAGE,6
STRING CHEESE COMMERCIALLY PACKAGED - UNOPENED PACKAGE,7
SWISS CHEESE - SLICED AT GROCERY DELI COUNTER,24
SWISS CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED - OPENED PACKAGE,6
SWISS CHEESE SHREDDED OR SLICED COMMERCIALLY PACKAGED — UNOPENED PACKAGE,7
SWISS CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - OPENED,24
SWISS CHEESE SOLD IN WRAPPED CHUNK OR BLOCK - UNOPENED,180
TILSITER CHEESE SOLD IN WRAPPED BLOCK - UNOPENED OR OPENED,17
WHIPPED CREAM (REAL) SOLD IN AEROSOL CAN  - UNOPENED OR OPENED,24
WHIPPING CREAM FLUID PLAIN PASTEURIZED - OPENED PACKAGE,6
WHIPPING CREAM FLUID PLAIN PASTEURIZED - UNOPENED PACKAGE,10
YOGURT (YOGHURT) COMMERCIALLY FROZEN - OPENED,90
YOGURT (YOGHURT) COMMERCIALLY FROZEN — UNOPENED,210
YOGURT (YOGHURT) COMMERCIALLY PACKAGED SOLD REFRIGERATED - UNOPENED  OR OPENED PACKAGE,10
